epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,2.8432562351226807,
0,19,,3.7509078979492188,
0,29,,6.49235200881958,
0,39,,3.1166162490844727,
0,49,,1.880874752998352,
0,49,,,3.88662052154541
0,49,3.4705255031585693,,
1,59,,2.809915065765381,
1,69,,3.722536087036133,
1,79,,6.468146324157715,
1,89,,3.0951449871063232,
1,99,,1.8637365102767944,
1,99,,,3.880448341369629
1,99,3.4422435760498047,,
2,109,,2.7930212020874023,
2,119,,3.7070858478546143,
2,129,,6.454407691955566,
2,139,,3.0831212997436523,
2,149,,1.8534519672393799,
2,149,,,3.870342493057251
2,149,3.427708148956299,,
3,159,,2.782844066619873,
3,169,,3.698200225830078,
3,179,,6.44705057144165,
3,189,,3.07610821723938,
3,199,,1.846945881843567,
3,199,,,3.86320424079895
3,199,3.419389009475708,,
4,209,,2.776245355606079,
4,219,,3.6924495697021484,
4,229,,6.442356586456299,
4,239,,3.0714352130889893,
4,249,,1.8422330617904663,
4,249,,,3.857377529144287
4,249,3.413961172103882,,
5,259,,2.7713303565979004,
5,269,,3.688338041305542,
5,279,,6.438416481018066,
5,289,,3.0673930644989014,
5,299,,1.8384822607040405,
5,299,,,3.8534975051879883
5,299,3.409879684448242,,
6,309,,2.7672829627990723,
6,319,,3.6847667694091797,
6,329,,6.435422897338867,
6,339,,3.064723491668701,
6,349,,1.835213303565979,
6,349,,,3.8503618240356445
6,349,3.4065682888031006,,
7,359,,2.7640187740325928,
7,369,,3.6817564964294434,
7,379,,6.432952404022217,
7,389,,3.0622284412384033,
7,399,,1.832231879234314,
7,399,,,3.8469433784484863
7,399,3.4037985801696777,,
8,409,,2.761307716369629,
8,419,,3.679532051086426,
8,429,,6.430652141571045,
8,439,,3.0600287914276123,
8,449,,1.829620361328125,
8,449,,,3.8452515602111816
8,449,3.401536226272583,,
9,459,,2.7589235305786133,
9,469,,3.677335739135742,
9,479,,6.428812026977539,
9,489,,3.058361768722534,
9,499,,1.827249526977539,
9,499,,,3.8431105613708496
9,499,3.3995282649993896,,
10,509,,2.7568752765655518,
10,519,,3.6758882999420166,
10,529,,6.427825450897217,
10,539,,3.057478904724121,
10,549,,1.8269379138946533,
10,549,,,3.841350793838501
10,549,3.39839243888855,,
11,559,,2.756617784500122,
11,569,,3.6757051944732666,
11,579,,6.4276814460754395,
11,589,,3.0573818683624268,
11,599,,1.826697826385498,
11,599,,,3.8411507606506348
11,599,3.3981759548187256,,
12,609,,2.756390333175659,
12,619,,3.6755306720733643,
12,629,,6.42750883102417,
12,639,,3.057255983352661,
12,649,,1.826451063156128,
12,649,,,3.8409688472747803
12,649,3.397995710372925,,
13,659,,2.756165027618408,
13,669,,3.675359010696411,
13,679,,6.427332878112793,
13,689,,3.0571160316467285,
13,699,,1.8262075185775757,
13,699,,,3.840789794921875
13,699,3.3978161811828613,,
14,709,,2.755943536758423,
14,719,,3.675187110900879,
14,729,,6.4271559715271,
14,739,,3.0569698810577393,
